lat,long,temp,pedon_key
37.371666,-118.4072189,13.4463194,86P0816
36.0086098,-117.5741653,11.62793324,89P0322
35.9900017,-117.5977783,12.17138511,89P0323
35.9883347,-117.5905533,12.09640332,89P0324
35.9738884,-117.5950012,12.06046535,89P0325
36.3555565,-118.0305557,14.41950203,91P1138
36.3938904,-118.0530548,11.33743299,91P1139
36.3561096,-118.0316696,14.33895048,91P1140
36.4666672,-118.1166687,5.381785612,91P1141
36.4402771,-118.1502762,0.617578066,91P1142
36.580555,-118.1458359,11.41345815,91P1143
34.0205574,-117.1833344,19.96193884,87P0653
33.7166672,-116.7166672,13.38929488,79P0445
33.6833344,-116.75,14.11585401,79P0447
33.7833328,-116.7333298,10.29057676,79P0448
33.8833351,-116.8166656,16.89145935,79P0449
33.75,-116.8166656,16.8864853,79P0451
37.4324989,-114.8055573,13.7499995,86P0887
37.3288879,-114.8925018,14.78207088,86P0888
37.3549995,-114.9361115,14.96516867,86P0889
37.503334,-114.839447,14.07160284,86P0890
37.3375015,-114.5838852,14.91500508,86P0892
37.4586105,-114.4577789,10.41694709,86P0884
37.3311119,-114.2216644,13.52712898,86P0885
37.1513672,-114.3083267,17.52938602,74C0156
37.284977,-114.2283249,14.89055025,74C0157
37.2496986,-114.2285995,15.73146152,74C0158
37.5360794,-114.8227844,13.49782528,74C0160
37.398056,-114.8883362,14.90142617,74C0161
37.4166336,-114.9250107,14.80680414,74C0162
37.5744095,-114.8700104,14.30272528,74C0163
35.5608333,-115.1430556,13.43030476,73C0105
35.5655556,-115.0894444,15.13602177,73C0106
35.7916667,-115.3341667,18.09544131,73C0107
35.8105556,-115.6152778,18.49698157,73C0108
35.9913889,-115.2638889,18.7195756,73C0110
35.1283333,-114.7672222,18.89939435,73C0111
35.0816667,-114.6547222,23.26874507,73C0112
36.1427778,-114.7816667,21.68409669,73C0113
35.4586111,-114.9094444,17.27523973,73C0115
35.54,-114.8886111,17.35140731,73C0116
35.6486111,-114.8855556,17.04932901,73C0117
35.4855556,-114.6902778,22.8639565,73C0118
35.5233333,-114.9044444,17.17966687,73C0119
36.4702778,-114.1625,19.9524848,74C0150
36.5669444,-114.2369444,20.3624985,74C0151
